Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
58124-9673,PG,Goran,Goran Dragic,Dragic,24.1547619,42,5000,MIA@CLE,MIA,CLE,,,,,,PG
58124-12355,SG,Eric,Eric Bledsoe,Bledsoe,23.02419355,62,4900,NO@MIN,NO,MIN,,,,,,SG
58124-14529,PG,Cory,Cory Joseph,Joseph,18.30999959,60,4900,DET@CHA,DET,CHA,O,Ankle,,,,PG
58124-110325,PF,Daniel,Daniel Gafford,Gafford,17.15777724,45,4900,WAS@DAL,WAS,DAL,,,,,,PF
58124-15846,SG,Tim,Tim Hardaway,Hardaway,23.25245942,61,4900,WAS@DAL,DAL,WAS,,,,,,SG
58124-66196,SG,PJ,PJ Dozier,Dozier,17.25,48,4800,DEN@LAC,DEN,LAC,,,,,,SG
58124-70827,C,Ivica,Ivica Zubac,Zubac,22.39687538,64,4800,DEN@LAC,LAC,DEN,,,,,,C
58124-110315,SG,Terance,Terance Mann,Mann,15.2295082,61,4800,DEN@LAC,LAC,DEN,,,,,,SG
58124-9538,PF,Trevor,Trevor Ariza,Ariza,20.24545427,22,4800,MIA@CLE,MIA,CLE,,,,,,PF
58124-20992,PF,Larry,Larry Nance,Nance,27.1,35,4700,MIA@CLE,CLE,MIA,O,Thumb,,,,PF
58124-145533,PF,Kenyon,Kenyon Martin,Martin,17.56111145,36,4700,GS@HOU,HOU,GS,,,,,,PF
58124-23169,C,Steven,Steven Adams,Adams,24.60877107,57,4700,NO@MIN,NO,MIN,O,Toe,,,,C
58124-63127,C,Willy,Willy Hernangomez,Hernangomez,17.92307692,39,4700,NO@MIN,NO,MIN,,,,,,C
58124-110351,SG,Cody,Cody Martin,Martin,12.20400024,50,4700,DET@CHA,CHA,DET,,,,,,SG
58124-145344,PG,Malachi,Malachi Flynn,Flynn,14.80000064,38,4700,TOR@UTA,TOR,UTA,,,,,,PG
58124-117286,C,Moses,Moses Brown,Brown,22.77941176,34,4600,IND@OKC,OKC,IND,,,,,,C
58124-15417,SF,Solomon,Solomon Hill,Hill,12.05238076,63,4600,CHI@ATL,ATL,CHI,,,,,,SF
58124-41594,PF,Aaron,Aaron Gordon,Gordon,27.40697674,43,4600,DEN@LAC,DEN,LAC,,,,,,PF
58124-23802,PG,Kris,Kris Dunn,Dunn,7.266666412,3,4600,CHI@ATL,ATL,CHI,,,,,,PG
58124-110359,C,Goga,Goga Bitadze,Bitadze,13.96756724,37,4600,IND@OKC,IND,OKC,GTD,Ankle,,,,C
58124-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,22.29999961,31,4600,MEM@ORL,ORL,MEM,GTD,Ankle,,,,PG
58124-145341,SG,Isaac,Isaac Okoro,Okoro,17.5672418,58,4600,MIA@CLE,CLE,MIA,,,,,,SG
58124-110353,PF,Brandon,Brandon Clarke,Clarke,24.72115385,52,4500,MEM@ORL,MEM,ORL,,,,,,PF
58124-16233,SF,Josh,Josh Richardson,Richardson,23.21428571,49,4500,WAS@DAL,DAL,WAS,,,,,,SF
58124-58295,PF,D.J.,D.J. Wilson,Wilson,11.50588271,34,4500,GS@HOU,HOU,GS,,,,,,PF
58124-15843,PG,Trey,Trey Burke,Burke,11.82115408,52,4500,WAS@DAL,DAL,WAS,,,,,,PG
58124-66046,SG,Luke,Luke Kennard,Kennard,14.86491207,57,4500,DEN@LAC,LAC,DEN,,,,,,SG
58124-17491,SF,James,James Ennis,Ennis,17.51707347,41,4400,MEM@ORL,ORL,MEM,,,,,,SF
58124-18256,PF,Doug,Doug McDermott,McDermott,19.70535714,56,4400,IND@OKC,IND,OKC,,,,,,PF
58124-23156,PF,Georges,Georges Niang,Niang,11.0031748,63,4300,TOR@UTA,UTA,TOR,,,,,,PF
58124-14496,PG,Ricky,Ricky Rubio,Rubio,24.75,60,4300,NO@MIN,MIN,NO,,,,,,PG
58124-70822,PF,Juancho,Juancho Hernangomez,Hernangomez,14.18222249,45,4300,NO@MIN,MIN,NO,,,,,,PF
58124-84719,SG,Aaron,Aaron Holiday,Holiday,12.625,60,4200,IND@OKC,IND,OKC,,,,,,SG
58124-110331,SG,Ty,Ty Jerome,Jerome,19.75999959,30,4200,IND@OKC,OKC,IND,,,,,,SG
58124-145819,SF,Naji,Naji Marshall,Marshall,16.81739077,23,4200,NO@MIN,NO,MIN,,,,,,SF
58124-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,14.49772783,44,4200,MIA@CLE,CLE,MIA,GTD,Concussion,,,,PF
58124-9729,PF,Paul,Paul Millsap,Millsap,21.02199951,50,4100,DEN@LAC,DEN,LAC,,,,,,PF
58124-101393,SG,Paul,Paul Watson,Watson,7.722222222,27,4100,TOR@UTA,TOR,UTA,O,Knee,,,,SG
58124-9809,SF,Nicolas,Nicolas Batum,Batum,21.36333415,60,4100,DEN@LAC,LAC,DEN,,,,,,SF
58124-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,19.0125,40,4100,IND@OKC,OKC,IND,,,,,,PF
58124-84703,SG,De'Anthony,De'Anthony Melton,Melton,21.84285772,42,4100,MEM@ORL,MEM,ORL,,,,,,SG
58124-12511,PG,Ish,Ish Smith,Smith,18.4400007,35,4100,WAS@DAL,WAS,DAL,,,,,,PG
58124-11074,SF,Garrett,Garrett Temple,Temple,17.18510664,47,4100,CHI@ATL,CHI,ATL,,,,,,SF
58124-40396,PG,Monte,Monte Morris,Morris,19.96590909,44,4100,DEN@LAC,DEN,LAC,O,Hamstring,,,,PG
58124-66064,SF,Malik,Malik Beasley,Beasley,29.76756823,37,4000,NO@MIN,MIN,NO,O,Hamstring,,,,SF
58124-85137,SG,Duncan,Duncan Robinson,Robinson,21.07936508,63,4000,MIA@CLE,MIA,CLE,,,,,,SG
58124-84699,SG,Hamidou,Hamidou Diallo,Diallo,22.18124898,48,4000,DET@CHA,DET,CHA,GTD,Knee,,,,SG
58124-9957,PF,Serge,Serge Ibaka,Ibaka,24.69743621,39,4000,DEN@LAC,LAC,DEN,O,Back,,,,PF
58124-9966,PF,James,James Johnson,Johnson,17.83809553,42,4000,NO@MIN,NO,MIN,,,,,,PF
58124-15628,SF,Otto,Otto Porter,Porter,20.38928659,28,4000,MEM@ORL,ORL,MEM,O,Foot,,,,SF
58124-110349,SF,Rui,Rui Hachimura,Hachimura,23.94600098,50,4000,WAS@DAL,WAS,DAL,,,,,,SF
58124-110995,C,Naz,Naz Reid,Reid,21.61935523,62,4000,NO@MIN,MIN,NO,,,,,,C
58124-145336,PF,Xavier,Xavier Tillman,Tillman,17.51372573,51,4000,MEM@ORL,MEM,ORL,,,,,,PF
58124-96763,PG,Brandon,Brandon Goodwin,Goodwin,9.968889025,45,4000,CHI@ATL,ATL,CHI,,,,,,PG
58124-23572,SF,Taurean,Taurean Prince,Prince,19.00975669,41,3900,MIA@CLE,CLE,MIA,O,Ankle,,,,SF
58124-16405,SG,Terrence,Terrence Ross,Ross,26.05652121,46,3900,MEM@ORL,ORL,MEM,GTD,Back,,,,SG
58124-145489,PG,Killian,Killian Hayes,Hayes,16.82222154,18,3900,DET@CHA,DET,CHA,,,,,,PG
58124-16604,SF,Justin,Justin Holiday,Holiday,21.1467738,62,3900,IND@OKC,IND,OKC,,,,,,SF
58124-16197,SG,Chasson,Chasson Randle,Randle,11.19375038,32,3900,MEM@ORL,ORL,MEM,,,,,,SG
58124-15691,C,Cody,Cody Zeller,Zeller,22.04102502,39,3900,DET@CHA,CHA,DET,,,,,,C
58124-9556,SF,Eric,Eric Gordon,Gordon,25.44814724,27,3900,GS@HOU,HOU,GS,O,Groin,,,,SF
58124-145319,PF,Jaden,Jaden McDaniels,McDaniels,16.69473641,57,3900,NO@MIN,MIN,NO,,,,,,PF
58124-80812,PF,Lauri,Lauri Markkanen,Markkanen,23.17142886,42,3900,CHI@ATL,CHI,ATL,GTD,Illness,,,,PF
58124-80824,PG,Frank,Frank Jackson,Jackson,12.46470552,34,3900,DET@CHA,DET,CHA,,,,,,PG
58124-117273,SF,Mychal,Mychal Mulder,Mulder,7.025489957,51,3800,GS@HOU,GS,HOU,,,,,,SF
58124-15405,PF,JaMychal,JaMychal Green,Green,16.88979542,49,3800,DEN@LAC,DEN,LAC,,,,,,PF
58124-23097,PG,Tomas,Tomas Satoransky,Satoransky,19.41960832,51,3800,CHI@ATL,CHI,ATL,,,,,,PG
58124-12351,C,Derrick,Derrick Favors,Favors,17.24576271,59,3800,TOR@UTA,UTA,TOR,,,,,,C
58124-14543,PF,Davis,Davis Bertans,Bertans,18.17291641,48,3800,WAS@DAL,WAS,DAL,,,,,,PF
58124-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,14.80677925,59,3800,IND@OKC,OKC,IND,,,,,,SG
58124-110322,PG,Jordan,Jordan Poole,Poole,16.64523751,42,3800,GS@HOU,GS,HOU,,,,,,PG
58124-110350,PF,Jalen,Jalen McDaniels,McDaniels,13.05135119,37,3800,DET@CHA,CHA,DET,,,,,,PF
58124-85305,SF,Kenrich,Kenrich Williams,Williams,17.75,62,3800,IND@OKC,OKC,IND,,,,,,SF
58124-40262,SG,Sterling,Sterling Brown,Brown,17.6823527,51,3800,GS@HOU,HOU,GS,O,Knee,,,,SG
58124-145303,SG,Skylar,Skylar Mays,Mays,6.956666565,30,3800,CHI@ATL,ATL,CHI,,,,,,SG
58124-16301,C,Dewayne,Dewayne Dedmon,Dedmon,18.86249924,8,3800,MIA@CLE,MIA,CLE,,,,,,C
58124-117779,PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,15.56818182,44,3700,GS@HOU,GS,HOU,,,,,,PF
58124-117291,SG,Armoni,Armoni Brooks,Brooks,13.71818126,11,3700,GS@HOU,HOU,GS,,,,,,SG
58124-145541,PG,R.J.,R.J. Hampton,Hampton,10.84651149,43,3700,MEM@ORL,ORL,MEM,,,,,,PG
58124-58576,C,Kevon,Kevon Looney,Looney,14.21346107,52,3700,GS@HOU,GS,HOU,,,,,,C
58124-81621,PF,Maxi,Maxi Kleber,Kleber,18.58043505,46,3700,WAS@DAL,DAL,WAS,GTD,Lower leg,,,,PF
58124-110308,SF,Jarrell,Jarrell Brantley,Brantley,4.830434716,23,3700,TOR@UTA,UTA,TOR,,,,,,SF
58124-9455,PG,Rajon,Rajon Rondo,Rondo,14.46842073,38,3700,DEN@LAC,LAC,DEN,,,,,,PG
58124-16183,PF,JaKarr,JaKarr Sampson,Sampson,8.507999878,25,3700,IND@OKC,IND,OKC,O,Concussion,,,,PF
58124-16196,C,Dwight,Dwight Powell,Powell,12.82708359,48,3700,WAS@DAL,DAL,WAS,,,,,,C
58124-16790,PG,Brad,Brad Wanamaker,Wanamaker,13.35272772,55,3700,DET@CHA,CHA,DET,,,,,,PG
58124-9664,SF,Andre,Andre Iguodala,Iguodala,15.84545455,55,3700,MIA@CLE,MIA,CLE,,,,,,SF
58124-18376,SG,Damion,Damion Lee,Lee,14.14912281,57,3700,GS@HOU,GS,HOU,O,Covid-19,,,,SG
58124-24546,SG,Denzel,Denzel Valentine,Valentine,14.36785671,56,3700,CHI@ATL,CHI,ATL,,,,,,SG
58124-110697,PF,Nicolo,Nicolo Melli,Melli,8.386110942,36,3600,WAS@DAL,DAL,WAS,,,,,,PF
58124-9873,C,Robin,Robin Lopez,Lopez,15.87096774,62,3600,WAS@DAL,WAS,DAL,,,,,,C
58124-84689,SF,Josh,Josh Okogie,Okogie,13.96666643,51,3600,NO@MIN,MIN,NO,,,,,,SF
58124-58084,SF,Justise,Justise Winslow,Winslow,16.33478314,23,3600,MEM@ORL,MEM,ORL,,,,,,SF
58124-84711,SG,Grayson,Grayson Allen,Allen,20.42708333,48,3600,MEM@ORL,MEM,ORL,GTD,Hand,,,,SG
58124-15592,PG,Austin,Austin Rivers,Rivers,14.05925949,27,3600,DEN@LAC,DEN,LAC,,,,,,PG
58124-110827,SG,Matt,Matt Thomas,Thomas,4.840540706,37,3600,TOR@UTA,UTA,TOR,,,,,,SG
58124-84721,PF,Jarred,Jarred Vanderbilt,Vanderbilt,17.47678593,56,3600,NO@MIN,MIN,NO,,,,,,PF
58124-110340,PF,Jaxson,Jaxson Hayes,Hayes,13.83921545,51,3600,NO@MIN,NO,MIN,,,,,,PF
58124-23823,C,Willie,Willie Cauley-Stein,Cauley-Stein,14.53255871,43,3600,WAS@DAL,DAL,WAS,,,,,,C
58124-40208,PG,Raul,Raul Neto,Neto,17.28947368,57,3600,WAS@DAL,WAS,DAL,,,,,,PG
58124-82744,PG,Shaquille,Shaquille Harrison,Harrison,5.132000122,25,3600,DEN@LAC,DEN,LAC,,,,,,PG
58124-145304,C,Onyeka,Onyeka Okongwu,Okongwu,10.63333348,42,3600,CHI@ATL,ATL,CHI,,,,,,C
58124-148402,SF,Gabriel,Gabriel Deck,Deck,6.400000095,1,3600,IND@OKC,OKC,IND,,,,,,SF
58124-145352,SG,Trent,Trent Forrest,Forrest,4.461904617,21,3600,TOR@UTA,UTA,TOR,,,,,,SG
58124-111622,SF,Garrison,Garrison Mathews,Mathews,9.682456569,57,3500,WAS@DAL,WAS,DAL,,,,,,SF
58124-101387,PG,Gabe,Gabe Vincent,Vincent,8.706818321,44,3500,MIA@CLE,MIA,CLE,GTD,Knee,,,,PG
58124-9739,C,JaVale,JaVale McGee,McGee,18.25641026,39,3500,DEN@LAC,DEN,LAC,,,,,,C
58124-117275,PG,Jeremiah,Jeremiah Martin,Martin,4.5,2,3500,MIA@CLE,CLE,MIA,,,,,,PG
58124-15904,SG,Rodney,Rodney Hood,Hood,9.290195839,51,3500,TOR@UTA,TOR,UTA,,,,,,SG
58124-117285,SF,Vlatko,Vlatko Cancar,Cancar,3.719999913,35,3500,DEN@LAC,DEN,LAC,,,,,,SF
58124-117289,PF,Juwan,Juwan Morgan,Morgan,3.587999878,25,3500,TOR@UTA,UTA,TOR,,,,,,PF
58124-37931,C,Aron,Aron Baynes,Baynes,14.44599976,50,3500,TOR@UTA,TOR,UTA,,,,,,C
58124-117290,SG,Charlie,Charlie Brown,Brown,9.199999809,2,3500,IND@OKC,OKC,IND,,,,,,SG
